k,rho,method,Better,Worse,Power,FP,Better2,Worse2,Power2,FDR2,mean_mBIC,sd_mBIC,sem_mBIC,mean_mBIC2,sd_mBIC2,sem_mBIC2,Runtime
20,0.5,stepwise_plain,0,0,0.8417999999999999,0.058,0,0,0.8699,0.051848712278060136,0.0,0.0,0.0,0.0,0.0,0.0,6.8774909515380855
20,0.5,stepwise_reduced,0,440,0.7346,0.236,0,478,0.7451,0.03883145004290513,76.2636396832226,72.59708844562738,3.246640494659747,89.04196619785364,77.07841215751496,3.4470513836389935,1.2314283418655396
20,0.5,stepwise_ff,0,2,0.8417,0.06,5,6,0.8695999999999999,0.052945451151128274,0.01187947005736396,0.20833347798056057,0.00931695637506978,0.04964780476230248,0.6261613706798568,0.028002787794492067,3.4082883195877076
20,0.5,L0opt_CD,2,1,0.8423,0.06,22,19,0.8707,0.05638945673783006,-0.02087441230899367,0.4849459761102953,0.021687443359952183,0.0053147955944155,0.31864247058511114,0.014250124494935713,0.2502513241767883
20,0.5,L0opt_CDPSI,3,1,0.8422000000000001,0.062,30,18,0.8709,0.05772502035721721,-0.023255556137703023,0.4877580481525868,0.021813203044835992,-0.03946705257553026,0.466375104183077,0.02085692871933813,2.2815464720726015
20,0.5,lassonet,1,219,0.8246,0.176,1,396,0.8423,0.03025579769873412,3.421334953028124,6.332897218981384,0.2832157735232349,6.057925617503857,6.966148271724902,0.3115356215383911,9.539170707702636
20,0.5,lassonet_plus,3,3,0.842,0.064,1,395,0.8412000000000001,0.027128584865053394,0.0043059385353685685,0.15091334335767456,0.006749049889190533,5.719104338130512,6.721262550127376,0.300583999134168,13.932894802093506
20,0.5,deep2stage,0,500,0.8252,0.026,0,500,0.7668,0.0,47.33623628233553,5.3321921130946,0.23846288067935545,381.0674286044064,40.418826651396586,1.8075848792660592,8.804477246284485
20,0.8,stepwise_plain,0,0,0.8352999999999999,0.364,0,0,0.8545999999999999,0.06017537559507549,0.0,0.0,0.0,0.0,0.0,0.0,6.9928463182449345
20,0.8,stepwise_reduced,0,448,0.7272000000000001,0.85,0,474,0.7379,0.08736719968198313,80.8743145943764,77.22377333881079,3.453552133292336,91.53391225468192,81.15481286861575,3.6293535655099904,1.7526668434143067
20,0.8,stepwise_ff,12,80,0.8288,0.49,20,77,0.8494999999999999,0.06564029491208462,1.0814545797062425,7.4365670711958725,0.3325733898086098,0.6951806787782848,2.450073664453095,0.10957062527198261,6.752934892177581
20,0.8,L0opt_CD,13,66,0.8337,0.426,24,111,0.8511,0.0665305703117422,0.3144589634190534,6.667455634766495,0.29817768072603784,1.0702487173849295,3.7009009047050743,0.16550932001822033,0.2649398398399353
20,0.8,L0opt_CDPSI,41,45,0.837,0.364,70,84,0.8560000000000001,0.06393338049007728,-0.4152398868160883,6.883048063078747,0.3078192672288468,0.23169146322212691,2.328039579271749,0.10411309507123283,2.5980150380134583
20,0.8,lassonet,1,481,0.7602,1.604,0,498,0.7783,0.12378050434335568,45.99222146348783,34.42695237379654,1.5396201153191362,47.4853739281361,32.32211046848145,1.4454887236756417,9.380063286304473
20,0.8,lassonet_plus,33,43,0.8379,0.37,0,495,0.7806,0.11272314200499949,-0.21140258021193223,6.0691753194003875,0.2714217716308653,44.92517563916995,32.02656486111499,1.4322715223051845,14.100935923099518
20,0.8,deep2stage,1,499,0.7674000000000001,1.274,0,500,0.7163999999999999,0.026639024030664857,84.40866362793643,31.2397595122619,1.3970845174032658,414.0985224679542,57.04462758651763,2.5511133006922635,8.615268192768097
40,0.0,stepwise_plain,0,0,0.84785,0.082,0,0,0.8854,0.07107139464069546,0.0,0.0,0.0,0.0,0.0,0.0,18.250273582935332
40,0.0,stepwise_reduced,0,500,0.6538,0.026,0,500,0.66865,0.014383962152239443,273.3103905983396,121.08737866539154,5.415192198261464,334.7894507539151,130.91767411711825,5.854816375640823,2.2400038480758666
40,0.0,stepwise_ff,0,0,0.84785,0.082,2,0,0.88545,0.07111618228548312,4.547473508864641e-15,1.4315385673732788e-13,6.402035098118628e-15,-0.005393598172602197,0.09214185993786339,0.004120709247886541,9.812634881496429
40,0.0,L0opt_CD,6,3,0.8486,0.082,104,28,0.88705,0.08726562748778688,-0.013788239170982252,0.17032744237557143,0.0076172747917091195,-0.2774118772874799,0.9402292000976351,0.042048328116971276,0.28705785036087034
40,0.0,L0opt_CDPSI,6,3,0.8486,0.082,105,28,0.8871,0.08781916323375583,-0.013788239170982252,0.17032744237557143,0.0076172747917091195,-0.28878894829959745,0.9975377498355759,0.04461124437509054,2.5643390617370607
40,0.0,lassonet,0,426,0.8150999999999999,0.444,0,497,0.8321500000000001,0.03849728105886431,15.058975224644808,14.500558703730375,0.648484699465347,27.942255760324873,18.266769747739364,0.816914777705638,9.159017506599426
40,0.0,lassonet_plus,2,11,0.84825,0.078,0,497,0.83295,0.03796381431594588,0.044690942064570666,0.5700516823163706,0.025493486246950386,27.85121129946509,19.02078101498034,0.8506351866926697,14.940572968482972
40,0.0,deep2stage,0,500,0.8323499999999999,0.048,0,500,0.7574,0.0,94.87019518158999,7.044913350425602,0.31505810294294884,809.6243828828644,63.26624647607324,2.8293525560351256,8.072140958309173
40,0.5,stepwise_plain,0,0,0.8423999999999999,0.148,0,0,0.88085,0.06727693395123426,0.0,0.0,0.0,0.0,0.0,0.0,17.966570029735564
40,0.5,stepwise_reduced,0,500,0.63355,0.534,0,500,0.6536500000000001,0.055065856543069815,295.9930786608259,121.85363148974541,5.449460066325594,355.2836456284619,130.32470987094337,5.828298208387344,2.6778926935195924
40,0.5,stepwise_ff,1,2,0.8422499999999999,0.15,3,5,0.8808,0.0674976762158701,0.03303005276890099,0.6477949856089458,0.028970272466102013,0.015894929958259127,0.4817046274175265,0.021542485839635965,11.91796303510666
40,0.5,L0opt_CD,11,18,0.84365,0.156,86,97,0.8827,0.07744210431112691,0.003760320607988433,0.627409283299423,0.02805859614343867,-0.00785423231885352,1.019424353780492,0.04559004305943949,0.2889671764373779
40,0.5,L0opt_CDPSI,15,17,0.84415,0.146,93,93,0.8829,0.07778914511694167,-0.02858118770001147,0.7107763885335265,0.031786886431255344,-0.06542390242546481,1.0558801234886264,0.047220394644228815,2.5517608942985537
40,0.5,lassonet,0,477,0.7939499999999999,1.142,0,499,0.8119500000000001,0.06324458142884698,34.12022488054139,24.98793115320229,1.1174942535129007,45.43048150493577,25.658344639424676,1.147476056077418,9.0776804728508
40,0.5,lassonet_plus,6,22,0.84275,0.164,0,497,0.8131999999999999,0.05974870668025712,0.06135762280536619,0.62531936641596,0.02796513221906371,44.612218946223294,26.677616134847188,1.1930592631032702,15.031881077289581
40,0.5,deep2stage,0,500,0.8204,0.1,0,500,0.7451,0.0,96.05456129721209,8.58043227105229,0.38372859668811643,803.611193314642,63.85514013101099,2.855688680914308,8.03471700668335
40,0.8,stepwise_plain,0,0,0.8109500000000001,0.696,0,0,0.8481,0.07844028616191663,0.0,0.0,0.0,0.0,0.0,0.0,18.201772553920748
40,0.8,stepwise_reduced,0,499,0.61005,2.026,0,500,0.63515,0.1274112628326137,271.4971147574942,119.10147749905484,5.326379998170965,320.84628008927245,126.10047225468891,5.639384559126211,4.26550334072113
40,0.8,stepwise_ff,36,61,0.8096500000000001,0.736,51,83,0.84695,0.08056366110843807,0.5336342688063057,5.562044314231249,0.24874218360974548,0.43025742927520605,2.545529752111782,0.11383955128940265,20.295829309940338
40,0.8,L0opt_CD,41,268,0.80695,1.148,36,364,0.83805,0.0984510088715165,4.431932147125091,14.588253828161173,0.6524065446557984,6.069010973134181,9.271148859948083,0.41461838160727177,0.30628444147109984
40,0.8,L0opt_CDPSI,89,160,0.8148,0.736,108,250,0.8468500000000001,0.09085906724788377,-0.9214291822928408,12.248473993400422,0.547768409397633,1.0784510913780831,4.759478883083978,0.21285036640101096,2.8165480937957765
40,0.8,lassonet,0,499,0.6895,6.55,0,500,0.72195,0.2431970511094257,189.72008512214992,73.7689842683305,3.2990492691019915,181.5030570681092,66.53865116430099,2.9756989426904505,8.85213057565689
40,0.8,lassonet_plus,58,284,0.7955,0.7,0,500,0.7218,0.23583153467755155,8.25119670794322,18.611746782367103,0.8323426197077165,177.8146186958529,65.43257317039334,2.9262336310345685,15.574942924022675
40,0.8,deep2stage,0,500,0.72765,2.06,0,500,0.6588,0.018741315079005474,165.4433093491176,50.0135786460009,2.236675233009798,827.9333902462448,77.64100734762043,3.4722114054167985,7.870409874916077
5,0.0,stepwise_plain,0,0,0.8555999999999999,0.034,0,0,0.8676,0.04477698412698412,0.0,0.0,0.0,0.0,0.0,0.0,1.583054629802704
5,0.0,stepwise_reduced,0,36,0.8423999999999999,0.022,0,85,0.8496,0.02595238095238094,0.7896581480701669,4.042919269491951,0.18080484628255586,1.155582336289218,4.7536536339772955,0.21258985334124272,0.32668968439102175
5,0.0,stepwise_ff,1,0,0.8564,0.034,1,0,0.8676,0.04534841269841269,-0.0019375598108185273,0.043325154474628744,0.0019375598108189811,-9.5724729573476e-05,0.00214047002453569,9.572472957324891e-05,0.7825454621315002
